,year,violent,cauc,population,income,density,state,law
250,1996,638.7,53.72744,7.332225,14977.11,0.1265945,Georgia,yes
251,1997,606.6,53.5205,7.486094,15243.07,0.1292511,Georgia,yes
252,1998,572.7,53.32244,7.636522,15974.6,0.1318483,Georgia,yes
253,1999,534,53.18856,7.78824,16339.75,0.1344678,Georgia,yes
254,1977,224.8,24.28329,0.918257,13737.26,0.1429194,Hawaii,no
255,1978,270.1,23.98426,0.931586,13978.14,0.1449939,Hawaii,no
256,1979,289.7,23.73469,0.953305,13977.94,0.1483743,Hawaii,no
257,1980,299.5,23.51738,0.96771,13918.01,0.1506163,Hawaii,no
258,1981,247.6,27.77328,0.978174,13490.66,0.152245,Hawaii,no
259,1982,255.7,27.5246,0.993802,13340.66,0.1546773,Hawaii,no
260,1983,252.1,27.45545,1.012717,13880,0.1576213,Hawaii,no
261,1984,231.9,27.2599,1.027935,14300.61,0.1599899,Hawaii,no
262,1985,219.4,27.02564,1.039683,14531.72,0.1618184,Hawaii,no
263,1986,245.2,26.86471,1.051759,14915.78,0.1636979,Hawaii,no
264,1987,263.3,26.72901,1.067911,15252.78,0.1662118,Hawaii,no
265,1988,257.1,26.48869,1.079823,15906.22,0.1680658,Hawaii,no
266,1989,270.1,26.23444,1.094584,16493.62,0.1703633,Hawaii,no
267,1990,280.9,26.38754,1.112703,17061.94,0.1732373,Hawaii,no
268,1991,241.8,26.44024,1.131412,16926.31,0.1761501,Hawaii,no
269,1992,258.4,26.49997,1.149926,17201.17,0.1790325,Hawaii,no
270,1993,261.2,26.32638,1.161508,17242.91,0.1808357,Hawaii,no
271,1994,262.2,26.25737,1.173903,17025.12,0.1827655,Hawaii,no
272,1995,295.6,26.10543,1.18049,16731.94,0.1837911,Hawaii,no
273,1996,280.6,26.01487,1.184434,16294.73,0.1844051,Hawaii,no
274,1997,277.9,26.00187,1.189322,16300.63,0.1851661,Hawaii,no
275,1998,246.9,26.04379,1.190472,16333.25,0.1853452,Hawaii,no
276,1999,235,26.08433,1.185497,16464.73,0.1845706,Hawaii,no
277,1977,236.9,70.72501,0.883471,10702.44,0.0106858,Idaho,no
278,1978,236.4,70.47297,0.910691,11183.43,0.011015,Idaho,no
279,1979,288.7,70.13862,0.932626,10830.57,0.0112804,Idaho,no
280,1980,313.4,69.79239,0.947983,10560.61,0.011503,Idaho,no
281,1981,283.3,69.53201,0.962203,10307.88,0.0116755,Idaho,no
282,1982,259.2,69.1673,0.973729,9928.871,0.0118154,Idaho,no
283,1983,238.7,68.87727,0.981858,10315,0.011914,Idaho,no
284,1984,235.3,68.74544,0.990841,10615.17,0.012023,Idaho,no
285,1985,234.8,68.65839,0.994046,10785.12,0.0120619,Idaho,no
286,1986,222.5,68.49204,0.990226,10878.91,0.0120156,Idaho,no
287,1987,214.2,68.47251,0.985004,11059.85,0.0119522,Idaho,no
288,1988,234.7,68.5293,0.985669,11407.42,0.0119603,Idaho,no
289,1989,254.6,68.68022,0.994426,11886.81,0.0120665,Idaho,no
290,1990,275.7,70.69105,1.011882,12089.89,0.012228,Idaho,no
291,1991,290.3,71.35117,1.038915,11838.54,0.0125547,Idaho,yes
292,1992,281.4,71.66949,1.06649,12237.56,0.0128879,Idaho,yes
293,1993,281.8,72.03497,1.101204,12579.76,0.0133074,Idaho,yes
294,1994,285.8,72.30266,1.135459,12664.51,0.0137214,Idaho,yes
295,1995,322,72.63202,1.165,12838.02,0.0140784,Idaho,yes
296,1996,267.2,72.77551,1.187706,12924.16,0.0143528,Idaho,yes
297,1997,256.8,72.91081,1.210638,12939.78,0.0146299,Idaho,yes
298,1998,282.2,72.94096,1.230923,13394.34,0.014875,Idaho,yes
299,1999,244.9,73.22482,1.2517,13676.86,0.0151261,Idaho,yes
300,1977,630.6,62.96043,11.38632,13784.94,0.2042462,Illinois,no
301,1978,676.7,62.7687,11.41256,14175.26,0.204717,Illinois,no
302,1979,743.9,62.54858,11.39684,14053.4,0.2044349,Illinois,no
303,1980,808,62.0413,11.4347,13392.09,0.2054938,Illinois,no
304,1981,792.5,61.88957,11.44346,13426,0.2056512,Illinois,no
305,1982,774.3,61.5728,11.42341,13179.67,0.2052909,Illinois,no
306,1983,728.1,61.23556,11.40882,13289,0.2050287,Illinois,no
307,1984,724.9,60.88976,11.41214,14080.04,0.2050883,Illinois,no
308,1985,714.8,60.61123,11.3998,14360.41,0.2048666,Illinois,no
309,1986,808.9,60.26858,11.38726,14802.16,0.2046412,Illinois,no
310,1987,796.2,60.00742,11.39118,15162.45,0.2047116,Illinois,no
311,1988,810.4,59.83682,11.39018,15544.16,0.2046936,Illinois,no
312,1989,845.9,59.59296,11.40979,15766.1,0.205046,Illinois,no
313,1990,967.4,61.30873,11.44698,15816.07,0.2059068,Illinois,no
314,1991,1039.2,61.05313,11.53597,15584.92,0.2075077,Illinois,no
315,1992,977.3,60.84206,11.6352,16162.44,0.2092925,Illinois,no
316,1993,959.7,60.66113,11.72598,16112.96,0.2109255,Illinois,no
317,1994,960.9,60.46421,11.80499,16423.68,0.2123466,Illinois,no
318,1995,996.1,60.30975,11.88494,16770.52,0.2137847,Illinois,no
319,1996,890.4,60.21309,11.953,17148.17,0.2150091,Illinois,no
320,1997,861.4,60.15479,12.01151,17609.08,0.2160615,Illinois,no
321,1998,807.7,60.22058,12.06977,18333.67,0.2171096,Illinois,no
322,1999,732.5,60.3039,12.12837,18620.52,0.2181636,Illinois,no
323,1977,310.6,67.79831,5.425637,11835.16,0.1503071,Indiana,yes
324,1978,323.5,67.7674,5.470213,12233.17,0.151542,Indiana,yes
325,1979,338,67.68886,5.501176,12092.81,0.1523998,Indiana,yes
326,1980,377.8,67.90417,5.490721,11423.84,0.1528087,Indiana,yes
327,1981,341.6,67.83166,5.480425,11349.08,0.1525221,Indiana,yes
328,1982,300.6,67.70847,5.467927,11040.34,0.1521743,Indiana,yes
329,1983,283.8,67.52014,5.450402,11203,0.1516866,Indiana,yes
330,1984,305.2,67.398,5.458328,11934.76,0.1519072,Indiana,yes
331,1985,309.4,67.2464,5.459216,12170.42,0.1519319,Indiana,yes
332,1986,307.7,67.04064,5.454114,12563.29,0.1517899,Indiana,yes
333,1987,328.5,66.8979,5.473009,12860.33,0.1523157,Indiana,yes
334,1988,380,66.76343,5.491734,13148.67,0.1528369,Indiana,yes
335,1989,406.5,66.50909,5.523684,13466.31,0.153726,Indiana,yes
336,1990,473.9,68.73007,5.555097,13430.25,0.1548675,Indiana,yes
337,1991,505.3,68.65849,5.602062,13198.2,0.1561768,Indiana,yes
338,1992,508.5,68.592,5.648649,13680.99,0.1574756,Indiana,yes
339,1993,489.1,68.5289,5.701965,13857.17,0.158962,Indiana,yes
340,1994,525.1,68.3758,5.745626,14214.82,0.1601792,Indiana,yes
341,1995,524.7,68.29259,5.791819,14286.63,0.1614669,Indiana,yes
342,1996,537,68.28423,5.834908,14462.12,0.1626682,Indiana,yes
343,1997,514.6,68.14533,5.87237,14747.51,0.1637126,Indiana,yes
344,1998,431,68.09436,5.907617,15360.54,0.1646952,Indiana,yes
345,1999,374.6,68.08481,5.942901,15641.89,0.1656789,Indiana,yes
346,1977,144,70.63897,2.913573,11973.25,0.052083,Iowa,no
347,1978,161.4,70.57121,2.918071,12893.26,0.0521634,Iowa,no
348,1979,181.2,70.48128,2.915739,12504.41,0.0521217,Iowa,no
349,1980,200.4,70.29703,2.914018,11692.24,0.0520686,Iowa,no
350,1981,204.2,70.04603,2.907975,12020.93,0.0519606,Iowa,no
351,1982,172.7,69.69798,2.88819,11586.26,0.0516071,Iowa,no
352,1983,181.1,69.30383,2.87055,11485,0.0512919,Iowa,no
353,1984,198.7,68.98267,2.858624,12273.28,0.0510788,Iowa,no
354,1985,211.7,68.6693,2.829685,12403.77,0.0505617,Iowa,no
355,1986,235.1,68.29514,2.791966,12744.18,0.0498877,Iowa,no
356,1987,231.2,68.13417,2.767005,13066.42,0.0494417,Iowa,no
357,1988,256.8,68.14285,2.768392,12895.23,0.0494665,Iowa,no
358,1989,266.3,67.98687,2.770585,13299.29,0.0495057,Iowa,no
359,1990,299.7,70.36103,2.779769,13243.56,0.0497498,Iowa,no
360,1991,303.3,70.44009,2.791227,13054.93,0.0499548,Iowa,no
361,1992,278,70.6496,2.806923,13446.69,0.0502358,Iowa,no
362,1993,325.5,70.71407,2.820525,13042.08,0.0504792,Iowa,no
363,1994,315.1,70.80584,2.829422,13774.66,0.0506384,Iowa,no
364,1995,354.4,70.96812,2.84086,13852.37,0.0508431,Iowa,no
365,1996,272.5,71.02967,2.848473,14422.76,0.0509794,Iowa,no
366,1997,310,71.10349,2.854396,14780.42,0.0510854,Iowa,no
367,1998,311.5,71.19295,2.861025,15185.18,0.051204,Iowa,no
368,1999,280,71.35867,2.869413,15307.6,0.0513541,Iowa,no
369,1977,309.8,67.85155,2.320647,12012.71,0.0283743,Kansas,no
370,1978,318.2,67.62933,2.335657,12349.3,0.0285578,Kansas,no
371,1979,353.6,67.38694,2.350908,12677.28,0.0287443,Kansas,no
372,1980,389.3,67.20489,2.369039,12135.94,0.0289691,Kansas,no
373,1981,369.4,66.98371,2.384859,12327.81,0.0291626,Kansas,no
374,1982,335.9,66.67711,2.401211,12372.65,0.0293626,Kansas,no
375,1983,326.6,66.37502,2.415537,12373,0.0295377,Kansas,no
376,1984,334.2,66.07586,2.424076,13044.32,0.0296422,Kansas,no
377,1985,355.8,65.7078,2.427412,13269.58,0.0296829,Kansas,no
378,1986,368.8,65.43351,2.432616,13547.74,0.0297466,Kansas,no
379,1987,360.7,65.15877,2.445387,13666.29,0.0299027,Kansas,no
